Date / Time,City,State,Shape,Duration,Summary,Posted
7/18/2012 1:00,Homer,AK,Light,20 or 30 minutes,"Multiple lights executing strange maneuvers by darting back and forth, blinking on and off and moving in geometric patterns.",5/8/2014
5/19/2012 20:30,Anchorage,AK,Triangle,2 minutes,"UFO between our neighbors house and ours in Anchorage, Alaska.",4/11/2014
4/28/2012 1:00,Eagle River,AK,Fireball,10 minutes,Stationary Silent burning ball of fire from approximately 100 feet.,7/4/2012
4/23/2012,Juneau,AK,Light,30 seconds,"Strange lights being seen in Juneau, AK night sky.",5/13/2012
4/6/2012 22:50,Bethel,AK,Circle,30 seconds,Orange circle of light moving from SE to NW.,4/18/2012
3/12/2012 21:45,Palmer,AK,Sphere,40 seconds,Brightly lit orange in color orb.,3/16/2012
3/3/2012 22:15,Bethel,AK,Light,5-10 minutes,Orange/Reddish Lights,3/13/2012
3/2/2012 19:30,Anchorage,AK,Light,10-15 minutes,Several red lights with no sound ascending to the sky in Alaska,3/13/2012
2/12/2012 4:30,Metlakatla,AK,Disk,,4 year old son sees and draws flying saucer. ((NUFORC Note: Sincere and credible witness. PD)),3/13/2012
2/11/2012 19:10,Fairbanks,AK,Light,15 minutes,"We saw 6-7 craft move from SE to NW, with very bright orange/yellow lights and no sound.",3/13/2012
2/10/2012 18:00,Haines,AK,Diamond,30 minutes and longer,"A bright multi-color flashing object soared across night sky, until it made an abrupt stop, only to roam around in any direction",3/13/2012
1/23/2012 19:30,Anchorage,AK,Sphere,2 minutes,Red lights in line formation coming over the mountains in Anchorage Alaska.,1/24/2012
1/22/2012 20:15,Anchorage,AK,Unknown,10 min,5 orange/red balls equally apart moving south in Ancorage AK at 815ish pm on 1/22/2012,1/24/2012
1/1/2012 19:30,Anchorage,AK,Sphere,5 min,Five glowing lights traveling at slow speeds without engine noise.,1/12/2012
1/1/2012 0:01,Anchorage,AK,Light,about 1.5 minutes,"New Years morning 2012. 5 lights by southern mountains outside Anchorage, AK",1/12/2012
12/30/2011 4:47,North Pole,AK,Triangle,8 min,"Triangle shaped, orange and yellow light. moving in erratic behavior for about 8 min.",1/12/2012
12/24/2011 2:00,Fairbanks,AK,Sphere,1 hour,Bright Orb/Sphere with pulsating blue and red lights hovering with jerky motion. ((NUFORC Note: Sighting of Sirius?? PD)),1/12/2012
12/4/2011 21:17,Anchorage,AK,Light,2 seconds,"Point of light appears to fall, maneuvers, vanishes",12/12/2011
11/23/2011 11:00,Anchorage,AK,Circle,1100,"This incident took place on 11-23-11, I had just passed Alaska Regional Hospital and was heading West on Debarr Rd. and had just crosse",12/12/2011
11/11/2011 20:10,Fairbanks,AK,Circle,5 min.,Red lights moving slowly.,12/12/2011
10/23/2011 20:45,Wasilla,AK,Sphere,30 mins,Fake Star above Wasilla 10-23-11 Only visible light in the sky Period. ((NUFORC Note: Star or planet? Possibly Jupiter? PD)),10/25/2011
10/23/2011 20:45,Wasilla,AK,Sphere,30mins,Fake Star above Wasilla 10-23-11 Only visible light in the sky Period.,12/12/2011
10/21/2011 21:00,Anchorage,AK,Circle,5 minutes,"Orange circles ""climbing"" then fading away",10/25/2011
9/11/2011 9:00,Wasilla,AK,Triangle,a few seconds,a tiangle shaped craft with yellow lights below flew over.,10/10/2011
5/11/2011 21:00,Alaska cruise (Norwegian Star),AK,Light,30 min,"Strange light in the sky , outside Juneau, Alaska.",6/12/2011
4/4/2011 4:00,Wasilla,AK,Circle,1-5 minutes,White circle looking light that gets really bright then fades away as its moving across the sky.,5/2/2011
3/26/2011 21:00,Seward,AK,Light,5 mins,"String of 9 bright lights, orange in color seen at mile 5-6 of Seward Highway moving slowly south.",4/3/2011
3/15/2011 0:03,Hooper Bay,AK,Unknown,3-5 minutes,I observed an aircraft flying above our town at low altitudes at varying speeds and the aircraft did not make any noticible sound.,3/23/2011
3/7/2011 21:00,Ninilchik,AK,Light,2 hours so far,"two bright spots,very close together. rays of color shooting to all sides,stayed in same spot on horizon",3/10/2011
2/11/2011 8:00,Fairbanks,AK,Unknown,20 min,"UFO's sighted Fairbanks/Murphy Dome Feb.11, 2011 8:00am",2/18/2011
1/8/2011 17:20,Juneau,AK,Light,about 10 min,Bright silent object seen traveling in night sky,1/31/2011
1/5/2011 20:00,North Pole,AK,Triangle,20 minutes,It was dark and we noticed six circular lights in a triangular formation pretty high up in the sky moving pretty slow from the south we,1/24/2012
1/3/2011 22:30,Savoonga,AK,Light,15 seconds,Didn't see the object it was very cloudy but it had a beam of light sort of like spot light aimed to the ground & traveled about 60yds,5/13/2012
12/31/2010 21:00,Wasilla,AK,Sphere,2 minutes,"Two red/orange lights suddenly appeared over our neighborhood New Years Eve, hovered for a few minutes, then dimmed and were gone.",1/5/2011
12/31/2010 20:10,Anchorage,AK,Light,5 minutes,Two small orange lights flying over Anchorage,1/5/2011
12/16/2010 12:00,Anchorage,AK,Circle,Dabarr,What The Hell Is that in the sky?? ((NUFORC Note: Possible hoax?? PD)),1/5/2011
11/19/2010 16:10,Juneau,AK,Fireball,60 seconds,"Missile like fireball seen in Juneau, Alaska.",11/21/2010
10/8/2010 1:30,Anchorage,AK,Triangle,15min,Silent Objects over Anchorage Alaska while northern lights were out.,11/21/2010
9/23/2010 7:00,Seward,AK,Cone,unknown,Photograph of unidentified object,7/4/2011
8/27/2010,Craig (Coffman Cove Road),AK,Circle,3 min,big green light in the sky.,8/30/2010
8/7/2010 0:30,North Kenai (Daniels Lake; east end),AK,Light,1 hour,Around 0:30 began seeing flickering flashlight type light through leaves of trees. ((NUFORC Note: Possible sighting of Jupiter. PD)),8/24/2010
8/6/2010 18:00,Anchorage,AK,Circle,1 MINUTE,"UFO APPEAR'S OVER ANCHORAGE ALASKA 80,000 FT. LOOK'S LIKE A BB & NO MOVEMENT",11/21/2010
6/25/2010 10:22,Elk,AK,,2-3 minutes,Odd brightly lit object object observed silently flying in a wavering flight path.west to east in eastern Washington state.,7/6/2010
5/29/2010 9:45,Prince William Sound,AK,Unknown,6 minutes,This occurred on Memorial Day weekend 2010 on a Halibut fishing charter in Prince Williams Sound. We arrived @ Smith Island approx. 9A,9/24/2012
5/21/2010 0:26,Palmer,AK,Sphere,10 minutes,"At about 12:27am on the 21st of May, while getting ready for bed and all was quiet, I heard the same sound I heard in mid-March when I",6/3/2010
1/12/2010 21:30,Metlakatla,AK,Disk,,Saucer behind car 2 visible red lights in the middle of saucer,2/14/2010
1/1/2010 12:01,Willow,AK,Sphere,10-11 min,4 redishorange shpereiodical objects appear during 2010 fireworks show hover around then disappear 500 Lights On Object0: Yes,2/14/2010
1/1/2010 0:20,Anchorage,AK,Light,one minute,"Upper atmosphere object moving south, becoming stationary and later moving east at a high rate of speed.",5/15/2013
1/1/2010 0:01,Willow,AK,Formation,7 min,four orange red objects suddenly appear 12:01 am new years move north then south and dissapear,2/14/2010
